ethane_st	ethane_ecl
tmethane_60	tmethane_0
tmethane_60	tmethane_120
tmethane_180	tmethane_120
methanol_st	methanol_ecl
methylamine_st	methylamine_ecl
h2o2	h2o2_trans
h2o2	h2o2_cis
h2s2	h2s2_trans
h2s2	h2s2_cis
n2h4_st1	n2h4_ecl1
n2h4_st1	n2h4_ecl2
nh2oh_st1	nh2oh_ecl
nh2oh_st2	nh2oh_ecl
acetamide_RC	acetamide_TS1
acetamide_RC	acetamide_TS2
biphenyl	biphenyl_TS
bifuran_anti	bifuran_TS
bifuran_syn	bifuran_TS
bithiophene_anti	bithiophene_TS
bithiophene_syn	bithiophene_TS
butadiene_strans	butadiene_TS
butadiene_scis	butadiene_TS
ethylthiourea_180	ethylthiourea_TS1
ethylthiourea_0	ethylthiourea_TS1
ethylthiourea_180	ethylthiourea_TS2
ethylthiourea_0	ethylthiourea_TS2
