H2O	H2O_TS
H2S	H2S_TS
SO2	SO2_TS
Ether	Ether_TS
Thioether	Thioether_TS
NMe3	NMe3_TS
NCl3	NCl3_TS
PMe3	PMe3_TS
PCl3	PCl3_TS
PH2Ph	PH2Ph_TS
PPh3	PPh3_TS
Dibenzocycloheptene	Dibenzocycloheptene_TS
Tetrahelicene	Tetrahelicene_TS
Pentahelicene	Pentahelicene_TS
Hexahelicene	Hexahelicene_TS
Dibenzocarbazole	Dibenzocarbazole_TS
Methinecyanine	Methinecyanine_TS
Corannulene	Corannulene_TS
BN_Corannulene	BN_Corannulene_TS
Sumanene	Sumanene_TS
Triazasumanene	Triazasumanene_TS
BN_Sumanene	BN_Sumanene_TS
Tetrabenzopyracylene	Tetrabenzopyracylene_TS
Triindenotriphenylene	Triindenotriphenylene_TS
