01A	01B	01
02A	02B	02
03A	03B	03
04A	04B	04
05A	05B	05
06A	06B	06
07A	07B	07
08A	08B	08
09A	09B	09
10A	10B	10
11A	11B	11
12A	12B	12
13A	13B	13
14A	14B	14
15A	15B	15
16A	16B	16
17A	17B	17
18A	18B	18
19A	19B	19
20A	20B	20
21A	21B	21
22A	22B	22
23A	23B	23
24A	24B	24
25A	25B	25
26A	26B	26
27A	27B	27
28A	28B	28
29A	29B	29
30A	30B	30
31A	31B	31
32A	32B	32
33A	33B	33
34A	34B	34
35A	35B	35
36A	36B	36
37A	37B	37
38A	38B	38
39A	39B	39
40A	40B	40
41A	41B	41
42A	42B	42
43A	43B	43
44A	44B	44
45A	45B	45
46A	46B	46
47A	47B	47
48A	48B	48
49A	49B	49
50A	50B	50
51A	51B	51
52A	52B	52
53A	53B	53
54A	54B	54
55A	55B	55
56A	56B	56
57A	57B	57
58A	58B	58
59A	59B	59
60A	60B	60
61A	61B	61
62A	62B	62
63A	63B	63
64A	64B	64
65A	65B	65
66A	66B	66
